iter	Passed	Remaining
408	5010	7240
409	5022	7227
410	5033	7213
411	5042	7196
412	5052	7181
413	5061	7164
414	5073	7151
415	5083	7137
416	5092	7119
417	5103	7106
418	5114	7091
419	5122	7074
420	5135	7062
421	5149	7052
422	5157	7035
423	5170	7024
424	5181	7010
425	5190	6993
426	5200	6978
427	5211	6964
428	5220	6948
429	5231	6934
430	5242	6920
431	5252	6905
432	5262	6891
433	5273	6876
434	5285	6865
435	5296	6850
436	5304	6833
437	5315	6820
438	5324	6803
439	5338	6794
440	5351	6783
441	5362	6769
442	5370	6752
443	5382	6739
444	5390	6723
445	5400	6708
446	5410	6693
447	5418	6676
448	5429	6662
449	5437	6646
450	5447	6631
451	5456	6614
452	5466	6600
453	5476	6586
454	5486	6571
455	5496	6557
456	5505	6541
457	5518	6531
458	5530	6518
459	5539	6502
460	5553	6492
461	5566	6481
462	5577	6469
463	5587	6454
464	5598	6441
465	5608	6427
466	5617	6411
467	5627	6396
468	5635	6380
469	5645	6366
470	5654	6350
471	5665	6337
472	5677	6325
473	5686	6310
474	5697	6297
475	5707	6283
476	5716	6267
477	5726	6253
478	5735	6238
479	5746	6225
480	5763	6218
481	5773	6204
482	5783	6191
483	5794	6177
484	5803	6161
485	5813	6148
486	5823	6134
487	5832	6118
488	5843	6106
489	5852	6091
490	5862	6077
491	5873	6064
492	5881	6048
493	5891	6034
494	5901	6021
495	5912	6008
496	5923	5995
497	5932	5979
498	5942	5966
499	5952	5952
500	5965	5941
501	5978	5930
502	5992	5920
503	6001	5905
504	6013	5894
505	6023	5880
506	6032	5866
507	6042	5852
508	6052	5838
509	6061	5823
510	6071	5810
511	6080	5795
512	6092	5783
513	6102	5770
514	6111	5755
515	6121	5742
516	6130	5726
517	6140	5713
518	6148	5698
519	6162	5688
520	6174	5677
521	6187	5666
522	6198	5653
523	6210	5641
524	6221	5629
525	6230	5614
526	6244	5604
527	6254	5591
528	6263	5576
529	6273	5563
530	6283	5549
531	6293	5536
532	6304	5523
533	6312	5508
534	6322	5495
535	6331	5481
536	6341	5467
537	6351	5454
538	6360	5439
539	6371	5427
540	6382	5414
541	6393	5402
542	6409	5394
543	6419	5381
544	6428	5366
545	6438	5353
546	6449	5340
547	6457	5326
548	6467	5313
549	6476	5299
550	6489	5288
551	6500	5275
552	6510	5262
553	6520	5249
554	6530	5236
555	6539	5222
556	6550	5209
557	6559	5195
558	6569	5183
559	6578	5168
560	6590	5157
561	6601	5145
562	6615	5135
563	6625	5121
564	6635	5108
565	6645	5095
566	6654	5081
567	6665	5069
568	6673	5054
569	6684	5042
570	6692	5028
571	6704	5016
572	6715	5004
573	6723	4990
574	6733	4977
575	6742	4963
576	6752	4950
577	6762	4937
578	6771	4923
579	6781	4911
580	6790	4897
581	6804	4886
582	6814	4874
583	6829	4864
584	6839	4851
585	6850	4839
586	6858	4825
587	6869	4813
588	6879	4800
589	6888	4786
590	6900	4775
591	6910	4762
592	6918	4748
593	6929	4736
594	6938	4722
595	6949	4710
596	6959	4697
597	6970	4685
598	6981	4673
599	6990	4660
600	7001	4648
601	7012	4636
602	7021	4623
603	7035	4612
604	7047	4601
605	7058	4589
606	7067	4575
607	7077	4563
608	7086	4549
609	7097	4537
610	7105	4524
611	7117	4512
612	7127	4499
613	7136	4486
614	7147	4474
615	7156	4461
616	7165	4447
617	7176	4435
618	7184	4422
619	7195	4410
620	7204	4396
621	7216	4385
622	7227	4373
623	7237	4360
624	7246	4347
625	7257	4336
626	7268	4323
627	7280	4312
628	7291	4300
629	7300	4287
630	7313	4276
631	7324	4264
632	7333	4251
633	7343	4239
634	7351	4225
635	7362	4213
636	7371	4200
637	7380	4187
638	7390	4175
639	7399	4162
640	7409	4149
641	7418	4136
642	7430	4125
643	7441	4113
644	7450	4100
645	7465	4091
646	7478	4080
647	7503	4075
648	7511	4062
649	7522	4050
650	7533	4038
651	7543	4026
652	7552	4013
653	7561	4000
654	7571	3988
655	7580	3975
656	7590	3962
657	7598	3949
658	7608	3937
659	7617	3924
660	7627	3911
661	7638	3899
662	7648	3887
663	7661	3876
664	7674	3866
665	7683	3853
666	7694	3841
667	7705	3829
668	7714	3816
669	7724	3804
670	7734	3792
671	7744	3780
672	7754	3767
673	7763	3754
674	7773	3742
675	7783	3730
676	7793	3718
677	7803	3706
678	7812	3693
679	7822	3681
680	7831	3668
681	7842	3656
682	7853	3645
683	7863	3633
684	7873	3620
685	7888	3610
686	7898	3598
687	7907	3585
688	7918	3574
689	7926	3561
690	7939	3550
691	7949	3538
692	7961	3526
693	7973	3515
694	7984	3503
695	7992	3491
696	8002	3479
697	8011	3466
698	8021	3454
699	8031	3442
700	8041	3430
701	8051	3418
702	8060	3405
703	8070	3393
704	8081	3381
705	8090	3369
706	8107	3359
707	8118	3348
708	8126	3335
709	8139	3324
710	8149	3312
711	8159	3300
712	8168	3288
713	8177	3275
714	8187	3263
715	8197	3251
716	8206	3238
717	8216	3227
718	8224	3214
719	8237	3203
720	8248	3191
721	8256	3179
722	8267	3167
723	8276	3155
724	8286	3143
725	8297	3131
726	8306	3119
727	8317	3107
728	8326	3095
729	8340	3084
730	8352	3073
731	8363	3062
732	8371	3049
733	8382	3037
734	8391	3025
735	8400	3013
736	8410	3001
737	8419	2989
738	8430	2977
739	8439	2965
740	8452	2954
741	8462	2942
742	8472	2930
743	8483	2918
744	8494	2907
745	8503	2895
746	8514	2883
747	8523	2871
748	8533	2859
749	8543	2847
750	8557	2837
751	8568	2825
752	8578	2814
753	8587	2801
754	8597	2789
755	8606	2777
756	8615	2765
757	8626	2753
758	8634	2741
759	8645	2730
760	8653	2717
761	8665	2706
762	8675	2694
763	8684	2682
764	8694	2670
765	8703	2658
766	8713	2646
767	8723	2635
768	8733	2623
769	8744	2612
770	8759	2601
771	8769	2589
772	8779	2578
773	8790	2566
774	8799	2554
775	8811	2543
776	8820	2531
777	8829	2519
778	8839	2507
779	8848	2495
780	8861	2484
781	8870	2472
782	8879	2460
783	8890	2449
784	8898	2437
785	8908	2425
786	8917	2413
787	8927	2401
788	8939	2390
789	8950	2379
790	8963	2368
791	8978	2357
792	8989	2346
793	8997	2334
794	9007	2322
795	9016	2310
796	9026	2299
797	9036	2287
798	9045	2275
799	9055	2263
800	9064	2251
801	9077	2241
802	9088	2229
803	9096	2217
804	9106	2205
805	9114	2193
806	9124	2182
807	9135	2170
808	9144	2158
809	9154	2147
810	9163	2135
811	9176	2124
812	9191	2114
813	9202	2102
814	9211	2090
815	9221	2079
816	9230	2067
817	9241	2056
818	9250	2044
819	9259	2032
820	9269	2021
821	9278	2009
822	9290	1998
823	9301	1986
824	9310	1974
825	9322	1963
826	9330	1951
827	9340	1940
828	9351	1928
829	9359	1917
830	9370	1905
831	9381	1894
832	9396	1883
833	9411	1873
834	9421	1861
835	9431	1850
836	9439	1838
837	9450	1826
838	9461	1815
839	9471	1804
840	9481	1792
841	9491	1781
842	9502	1769
843	9510	1757
844	9521	1746
845	9531	1734
846	9539	1723
847	9550	1711
848	9558	1700
849	9569	1688
850	9578	1676
851	9588	1665
852	9599	1654
853	9615	1643
854	9626	1632
855	9637	1621
856	9648	1609
857	9656	1598
858	9667	1586
859	9675	1575
860	9686	1563
861	9697	1552
862	9705	1540
863	9718	1529
864	9728	1518
865	9737	1506
866	9748	1495
867	9758	1483
868	9768	1472
869	9780	1461
870	9788	1449
871	9800	1438
872	9813	1427
873	9822	1416
874	9834	1404
875	9846	1393
876	9857	1382
877	9867	1371
878	9878	1359
879	9886	1348
880	9897	1336
881	9905	1325
882	9917	1314
883	9930	1303
884	9939	1291
885	9950	1280
886	9961	1269
887	9970	1257
888	9980	1246
889	9989	1234
890	9999	1223
891	10010	1212
892	10019	1200
893	10035	1189
894	10049	1179
895	10061	1167
896	10069	1156
897	10079	1144
898	10088	1133
899	10099	1122
900	10110	1110
901	10119	1099
902	10130	1088
903	10140	1076
904	10149	1065
905	10159	1054
906	10168	1042
907	10178	1031
908	10187	1019
909	10197	1008
910	10207	997
911	10215	985
912	10226	974
913	10235	963
914	10247	951
915	10262	941
916	10272	929
917	10281	918
918	10292	907
919	10300	895
920	10311	884
921	10320	873
922	10329	861
923	10341	850
924	10351	839
925	10363	828
926	10374	816
927	10382	805
928	10392	794
929	10401	782
930	10411	771
931	10423	760
932	10433	749
933	10446	738
934	10461	727
935	10471	716
936	10480	704
937	10491	693
938	10499	682
939	10509	670
940	10518	659
941	10527	648
942	10538	637
943	10548	625
944	10558	614
945	10567	603
946	10576	591
947	10586	580
948	10595	569
949	10605	558
950	10613	546
951	10624	535
952	10633	524
953	10644	513
954	10655	502
955	10664	490
956	10674	479
957	10690	468
958	10700	457
959	10710	446
960	10721	435
961	10729	423
962	10742	412
963	10753	401
964	10762	390
965	10772	379
966	10780	367
967	10790	356
968	10800	345
969	10808	334
970	10819	323
971	10827	311
972	10838	300
973	10848	289
974	10858	278
975	10872	267
976	10884	256
977	10893	245
978	10904	233
979	10917	222
980	10926	211
981	10937	200
982	10947	189
983	10956	178
984	10966	167
985	10975	155
986	10985	144
987	10994	133
988	11005	122
989	11016	111
990	11025	100
991	11035	88
992	11043	77
993	11057	66
994	11071	55
995	11088	44
996	11098	33
997	11107	22
998	11117	11
999	11126	0
