iter	MultiClass
0	1.624344829
1	1.512139952
2	1.411283255
3	1.331628197
4	1.262084353
5	1.202860938
6	1.153746724
7	1.108005184
8	1.067634932
9	1.033558807
10	1.005865281
11	0.9784270825
12	0.9530874358
13	0.9302129782
14	0.9110415024
15	0.8923938491
16	0.8770258681
17	0.860182918
18	0.8474193695
19	0.8348938641
20	0.822379629
21	0.8117141836
22	0.802172552
23	0.791417328
24	0.781553874
25	0.7714405728
26	0.7630533564
27	0.7553536443
28	0.7477666477
29	0.7422538246
30	0.7365090244
31	0.7303528102
32	0.7241772696
33	0.7194767592
34	0.7147981578
35	0.7105041675
36	0.7066516306
37	0.7023722599
38	0.6985063838
39	0.6946738977
40	0.6899750049
41	0.6860349971
42	0.6827731189
43	0.6794553508
44	0.6753248752
45	0.672322179
46	0.6688490369
47	0.6662384694
48	0.6641508756
49	0.6612241767
50	0.6578434024
51	0.6549838101
52	0.6523844639
53	0.6499494898
54	0.647338489
55	0.6451125754
56	0.6429424676
57	0.6411786907
58	0.6391276834
59	0.6373750669
60	0.6357254094
61	0.6338356108
62	0.6320132836
63	0.6298317935
64	0.6281669486
65	0.6258872424
66	0.6244835638
67	0.622703388
68	0.6213548829
69	0.620010322
70	0.6180412182
71	0.6166397945
72	0.6143755552
73	0.6129130172
74	0.6118706754
75	0.6104414265
76	0.6092086985
77	0.6076284153
78	0.6059907032
79	0.6043947948
80	0.6026090781
81	0.6014948081
82	0.6002855694
83	0.5986054982
84	0.5973453619
85	0.5958081325
86	0.594623924
87	0.5933109971
88	0.5919671817
89	0.5899522155
90	0.5888248829
91	0.5874596001
92	0.586304065
93	0.5845743981
94	0.5830958877
95	0.5819979376
96	0.5810733978
97	0.5799550492
98	0.5788812043
99	0.5772548913
100	0.5760440807
101	0.5744026362
102	0.5733299786
103	0.5726718955
104	0.5712242792
105	0.5698957871
106	0.5691549427
107	0.5679748614
108	0.5669527922
109	0.566149135
110	0.5655098254
111	0.5644181674
112	0.5638162781
113	0.5627374645
114	0.5616398266
115	0.5608785884
116	0.5599152144
117	0.55906391
118	0.5580489362
119	0.5569355028
120	0.5563416071
121	0.5553560968
122	0.5539841847
123	0.553273142
124	0.5522002088
125	0.5512718034
126	0.5507130447
127	0.5495666791
128	0.5488875199
129	0.5481454326
130	0.5472647056
131	0.545784251
132	0.5450861627
133	0.5442818594
134	0.5436131788
135	0.5425351357
136	0.5414043943
137	0.5391757014
138	0.5382598312
139	0.5373201934
140	0.5366086793
141	0.5356912954
142	0.5343375016
143	0.533656651
144	0.5328481737
145	0.531601491
146	0.530639376
147	0.5291116207
148	0.5285179337
149	0.5278704817
150	0.5267816298
151	0.525765246
152	0.5253139855
153	0.524096154
154	0.5224093184
155	0.5218552542
156	0.5210195475
157	0.5200585343
158	0.5191817518
159	0.5182152788
160	0.5174607583
161	0.5166548663
162	0.5154705421
163	0.5144798524
164	0.5133196059
165	0.5126888428
166	0.5117848463
167	0.5108913826
168	0.510327118
169	0.5092613602
170	0.5079634655
171	0.5068496709
172	0.5057324212
173	0.5049701138
174	0.503908273
175	0.5030639803
176	0.5021796621
177	0.5009402082
178	0.4998663141
179	0.4990460641
180	0.4981307112
181	0.4973628304
182	0.4964454563
183	0.4955488553
184	0.4947602756
185	0.4939771398
186	0.4930367608
187	0.4921751331
188	0.4912394952
189	0.4907020224
190	0.4896105811
191	0.4886781519
192	0.4876024732
193	0.4866324226
194	0.4855788866
195	0.4850446514
196	0.4846528182
197	0.4838516111
198	0.4831745891
199	0.4824462015
200	0.4816869996
201	0.4811421227
202	0.4801062088
203	0.4792669815
204	0.4787165961
205	0.4776461025
206	0.4771716411
207	0.4761488538
208	0.4757251358
209	0.4751292357
210	0.4740822247
211	0.4734558192
212	0.4727323527
213	0.4720570525
214	0.4712149001
215	0.4702220999
216	0.4694763589
217	0.4688897349
218	0.468234806
219	0.467340622
220	0.4666774362
221	0.4660723602
222	0.4651874638
223	0.4646246423
224	0.4637515113
225	0.4628963886
226	0.4623234851
227	0.4619059762
228	0.4611472582
229	0.4604384748
230	0.4598588558
231	0.4594413962
232	0.4588535657
233	0.4577983467
234	0.457114072
235	0.4564773909
236	0.4557346896
237	0.4550979804
238	0.4543791877
239	0.4538065826
240	0.4531772748
241	0.4526365463
242	0.4518920198
243	0.4515125045
244	0.4510696558
245	0.4504573769
246	0.4499926992
247	0.4494963926
248	0.4487148855
249	0.4484452253
250	0.4479451213
251	0.4474836138
252	0.4468078915
253	0.4461370354
254	0.4456739274
255	0.4451167105
