iter	Passed	Remaining
407	4854	1094
408	4865	1082
409	4878	1070
410	4891	1059
411	4902	1047
412	4915	1035
413	4930	1024
414	4942	1012
415	4954	1000
416	4963	987
417	4975	976
418	4990	964
419	5004	953
420	5019	941
421	5035	930
422	5046	918
423	5060	907
424	5073	895
425	5080	882
426	5092	870
427	5102	858
428	5111	846
429	5119	833
430	5130	821
431	5139	808
432	5148	796
433	5156	784
434	5167	772
435	5180	760
436	5191	748
437	5200	736
438	5213	724
439	5224	712
440	5235	700
441	5243	688
442	5255	676
443	5263	663
444	5274	651
445	5282	639
446	5291	627
447	5300	615
448	5307	602
449	5315	590
450	5325	578
451	5336	566
452	5350	555
453	5364	543
454	5377	531
455	5390	520
456	5403	508
457	5415	496
458	5427	484
459	5439	472
460	5452	461
461	5467	449
462	5481	438
463	5496	426
464	5507	414
465	5522	402
466	5534	391
467	5545	379
468	5553	367
469	5565	355
470	5576	343
471	5587	331
472	5645	322
473	5655	310
474	5667	298
475	5681	286
476	5689	274
477	5702	262
478	5715	250
479	5727	238
480	5737	226
481	5749	214
482	5763	202
483	5774	190
484	5790	179
485	5799	167
486	5807	155
487	5819	143
488	5827	131
489	5841	119
490	5849	107
491	5858	95
492	5870	83
493	5883	71
494	5894	59
495	5904	47
496	5913	35
497	5922	23
498	5933	11
499	5943	0
