iter	MultiClass
134	0.4377968475
135	0.4365335939
136	0.4349393246
137	0.4334911709
138	0.4328694633
139	0.4318555629
140	0.4306499455
141	0.4288273509
142	0.4281944945
143	0.4269292001
144	0.4257553838
145	0.4244703535
146	0.4230639065
147	0.4217569394
148	0.4209578548
149	0.4198569463
150	0.4193904309
151	0.4185869953
152	0.4177319705
153	0.41676121
154	0.4159942167
155	0.4149699802
156	0.4141643835
157	0.4135004228
158	0.4117075961
159	0.4100528358
160	0.4092441691
161	0.407018951
162	0.4058237304
163	0.4052591317
164	0.4038892057
165	0.4024651344
166	0.4019646678
167	0.4013083349
168	0.3999700336
169	0.3990747682
170	0.398439257
171	0.3974990404
172	0.3962319494
173	0.3953141171
174	0.3941034052
175	0.3925825327
176	0.3913251566
177	0.3901643517
178	0.3890126556
179	0.3884028704
180	0.3874723484
181	0.3869926346
182	0.3861068322
183	0.3854204581
184	0.384292539
185	0.3833619328
186	0.3824437769
187	0.3816200305
188	0.3804248828
189	0.3791152451
190	0.3778975777
191	0.3770501013
192	0.3762419164
193	0.3756133153
194	0.3749385672
195	0.3746756132
196	0.3737761431
197	0.3729223706
198	0.3715877902
199	0.3703165992
200	0.3698021531
201	0.3691161223
202	0.3688227766
203	0.3682089884
204	0.3673551004
205	0.3661013884
206	0.365142535
207	0.3641948855
208	0.3631159655
209	0.3625464995
210	0.3619850835
211	0.3609970782
212	0.3595261132
213	0.3588504536
214	0.3579180345
215	0.3564707821
216	0.3557845144
217	0.3548471991
218	0.3538899552
219	0.3535571106
220	0.3529522742
221	0.3520384343
222	0.3511474857
223	0.3497717943
224	0.3487676456
225	0.3482178588
226	0.3478280005
227	0.347166231
228	0.3461713782
229	0.3455154004
230	0.3452003408
231	0.3448336745
232	0.3440016617
233	0.3430380741
234	0.3424300422
235	0.3417941035
236	0.3411632366
237	0.3405083661
238	0.3395512158
239	0.3390178599
240	0.3379089481
241	0.3375393165
242	0.3366194793
243	0.335799065
244	0.3354928985
245	0.3346692308
246	0.3341365681
247	0.3331395439
248	0.3324475776
249	0.3320401343
250	0.3314048579
251	0.3300763578
252	0.3295118186
253	0.328471403
254	0.3275746478
255	0.3263717228
256	0.3260024983
257	0.3252313769
258	0.3248262104
259	0.3242147985
260	0.3231955923
261	0.3228414198
262	0.3223742666
263	0.3216729968
264	0.3206723628
265	0.3196168668
266	0.3188220451
267	0.3184687222
268	0.3180490454
269	0.3166514162
270	0.3155117821
271	0.3144970885
272	0.3139062959
273	0.3131849158
274	0.3125235279
275	0.3119683629
276	0.3113843537
277	0.3110041098
278	0.3105456541
279	0.3097204356
280	0.3091295457
281	0.3086669256
282	0.3074153428
283	0.3070099251
284	0.3064841694
285	0.3062503994
286	0.3055640749
287	0.3048332194
288	0.3043102584
289	0.3039316609
290	0.3035458445
291	0.3028398838
292	0.3019931373
293	0.301410424
294	0.3009260117
295	0.3003398933
296	0.2998500838
297	0.2992027287
298	0.2987549586
299	0.2978910281
300	0.2976499354
301	0.2971618774
302	0.296486113
303	0.2960638206
304	0.295531082
305	0.2950744577
306	0.2947530392
307	0.2943603374
308	0.2939421282
309	0.2936224011
310	0.2932967112
311	0.2931560091
312	0.2923819553
313	0.2917764998
314	0.291215269
315	0.2907978555
316	0.290464063
317	0.289715562
318	0.2890236751
319	0.2884392452
320	0.2875525617
321	0.2868751827
322	0.2864466905
323	0.2857989757
324	0.2853736558
325	0.2850680679
326	0.2846725019
327	0.2840721363
328	0.2838359426
329	0.2832451063
330	0.2826558029
331	0.2824326313
332	0.282169483
333	0.2817324837
334	0.2814205708
335	0.2808988878
336	0.2800967996
337	0.2796995286
338	0.2791184713
339	0.2787253515
340	0.2784669563
341	0.2773392452
342	0.2765717732
343	0.2763322462
344	0.2759407402
345	0.2755130235
346	0.2746147533
347	0.2742476247
348	0.2739570827
349	0.273578439
350	0.2726454419
351	0.2720865755
352	0.2714125085
353	0.2709213609
354	0.2704343149
355	0.2698649643
356	0.2690765861
357	0.2687596922
358	0.2682409807
359	0.2675842371
360	0.2668308575
361	0.2663763203
362	0.2660417373
363	0.2656693937
364	0.2652122603
365	0.2646177696
366	0.2641942409
367	0.2639885029
368	0.2637589973
369	0.2634905074
370	0.2628840604
371	0.2623243286
372	0.261983335
373	0.2614112193
374	0.2610728633
375	0.2607225028
376	0.2603608059
377	0.2599681218
378	0.2597282923
379	0.259409635
380	0.2586963763
381	0.2583205738
382	0.2577783824
383	0.2574611425
384	0.2570602275
385	0.2566461335
386	0.2563684864
387	0.2555141422
388	0.2552730474
389	0.2550388471
390	0.2544056147
391	0.2539269647
392	0.2536327022
393	0.2530197078
394	0.2524581734
395	0.251896503
396	0.2514742255
397	0.2509793458
398	0.2506508848
399	0.2500617624
400	0.2495919525
401	0.2491447237
402	0.2487200162
403	0.248253817
404	0.2478424856
405	0.2474358823
406	0.2470834703
407	0.2466625014
408	0.2463162743
409	0.2459800897
410	0.2454079705
411	0.2450829835
412	0.2447857655
413	0.2445137832
414	0.2440011267
415	0.2436634834
416	0.2433967126
417	0.2428330355
418	0.2425696362
419	0.2422718778
420	0.2418986895
421	0.2415510489
422	0.2412868572
423	0.2410532077
424	0.2407694831
425	0.2404529131
426	0.2400239964
427	0.2396723526
428	0.2393734822
429	0.2387307691
430	0.238330128
431	0.2377370677
432	0.2375815278
433	0.2372197437
434	0.2369099482
435	0.2365845698
436	0.2361338139
437	0.2357212225
438	0.2354378539
439	0.2348967054
440	0.2345937653
441	0.2342701199
442	0.233792235
443	0.2333532169
444	0.2331614076
445	0.2325578488
446	0.2321636817
447	0.2316141307
448	0.2312440484
449	0.2309765309
450	0.2304925037
451	0.2302882904
452	0.2299162477
453	0.2296039791
454	0.2293164477
455	0.2290702892
456	0.2288947973
457	0.2285965845
458	0.2281622606
459	0.2277929508
460	0.2273154403
461	0.2270943248
462	0.2265047319
463	0.2259098447
464	0.2255035691
465	0.2252629307
466	0.2250007614
467	0.2247372653
468	0.2243015215
469	0.2239003963
470	0.2236847189
471	0.2230267184
472	0.2224987562
473	0.2222810614
474	0.2219324821
475	0.2215669762
476	0.2211779155
477	0.2208006197
478	0.2204954239
479	0.2202169085
480	0.2197143404
481	0.2193580496
482	0.2189784409
483	0.2186589181
484	0.2183338534
485	0.2181050201
486	0.2177111904
487	0.2172932658
488	0.2170690091
489	0.2167223076
490	0.2164283078
491	0.2160980134
492	0.215637427
493	0.2153348756
494	0.215101435
495	0.2148244142
496	0.2146064786
497	0.2144462239
498	0.2141891211
499	0.2140857974
